,reflectance,wavelengths
266,0.2194,1714.109863
267,0.2175,1719.120239
268,0.2144,1724.130493
269,0.213,1729.140747
270,0.2155,1734.151001
271,0.2186,1739.161255
272,0.2138,1744.171631
273,0.2141,1749.181885
274,0.2134,1754.192139
275,0.2126,1759.202393
276,0.212,1764.212646
277,0.2103,1769.223022
278,0.2058,1774.233276
279,0.2043,1779.24353
280,0.1996,1784.253784
281,0.2028,1789.26416
282,0.1919,
283,0.1952,
284,0.1681,
285,0.1556,
286,0.1501,
287,0.1425,
288,0.128,
289,0.3424,
290,0.5273,
291,0.0,
292,0.8921,
293,0.3492,
294,1.4998,
295,1.0802,
296,0.8026,
297,1.4998,
298,1.4998,
299,0.202,
300,0.2166,
301,0.2854,
302,0.5302,
303,0.3902,
304,1.4552,
305,0.547,
306,0.2646,
307,0.117,
308,0.1265,
309,0.0715,
310,0.0788,
311,0.1018,
312,0.1065,
313,0.0959,
314,0.0959,
315,0.1135,1959.613647
316,0.1295,1964.623779
317,0.1379,1969.634155
318,0.1428,1974.644409
319,0.1517,1979.654663
320,0.1579,1984.665039
321,0.1591,1989.675171
322,0.1544,1994.685547
323,0.1351,1999.695801
324,0.1237,2004.706055
325,0.1375,2009.716431
326,0.134,2014.726563
327,0.1446,2019.736938
328,0.1561,2024.747192
329,0.1605,2029.757446
330,0.1621,2034.767822
331,0.1603,2039.777954
332,0.1592,2044.78833
333,0.1526,2049.798584
334,0.1462,2054.808838
335,0.1457,2059.819092
336,0.1468,2064.829346
337,0.1471,2069.8396
338,0.1523,2074.850098
339,0.1519,2079.860352
340,0.1517,2084.870605
341,0.1527,2089.880859
342,0.1545,2094.891113
343,0.1556,2099.901367
344,0.1534,2104.911621
345,0.1531,2109.921875
346,0.1557,2114.932129
347,0.1557,2119.942383
348,0.1576,2124.952881
349,0.1568,2129.962891
350,0.1592,2134.973389
351,0.1586,2139.983643
352,0.1573,2144.993896
353,0.1582,2150.00415
354,0.1576,2155.014404
355,0.1574,2160.024658
356,0.1573,2165.034912
357,0.16,2170.04541
358,0.1572,2175.055664
359,0.1592,2180.065918
360,0.1607,2185.076172
361,0.1584,2190.086426
362,0.1637,2195.09668
363,0.1602,2200.106934
364,0.1615,2205.117188
365,0.1622,2210.127441
366,0.166,2215.137695
367,0.1659,2220.148193
368,0.1669,2225.158203
369,0.1659,2230.168701
370,0.161,2235.178955
371,0.16,2240.189209
372,0.1565,2245.199463
373,0.1541,2250.209717
374,0.1481,2255.219971
375,0.1438,2260.230225
376,0.1408,2265.240479
377,0.1402,2270.250977
378,0.1376,2275.260986
379,0.1364,2280.271484
380,0.1356,2285.281738
381,0.1366,2290.291992
382,0.1322,2295.302246
383,0.1305,2300.3125
384,0.1334,2305.322754
385,0.1337,2310.333008
386,0.131,2315.343506
387,0.1288,2320.353516
388,0.1293,2325.364014
389,0.1283,2330.374268
390,0.127,2335.384521
391,0.125,2340.394775
392,0.123,2345.405029
393,0.1233,2350.415283
394,0.124,2355.425537
395,0.1247,2360.435791
396,0.1256,2365.446289
397,0.1232,2370.456299
398,0.1237,2375.466797
399,0.1216,2380.477051
400,0.1205,2385.487305
401,0.1236,2390.497559
402,0.1237,2395.507813
403,0.1212,2400.518066
404,0.1189,2405.52832
405,0.1155,2410.538818
406,0.116,2415.548828
407,0.1138,2420.559082
408,0.1142,2425.56958
409,0.1162,2430.579834
410,0.1118,2435.590088
411,0.106,2440.600342
412,0.1025,2445.610596
413,0.1007,2450.62085
414,0.0982,2455.631104
415,0.1013,2460.641357
416,0.0979,
417,0.0967,
418,0.0909,
419,0.0926,
420,0.0923,
421,0.0918,
422,0.101,
423,0.0983,
424,0.085,
425,0.0836,
